"";"Methode";"alpha";"beta";"sigma2"
"181";"EM";0,00613512693901552;1,00832113375288;0,195702732236262
"182";"Boot";0,0168120054517395;1,02517119399777;0,284466372937103
"183";"Post";0,00851045445805179;1,01907509685016;0,324314193251058
"184";"Moy";-0,040052232962069;0,692968498346815;0,0737348888579439
"185";"Reg. Lin.";0,0159291302277975;1,00916526713862;0,0539222867094834
"186";"Reg. Lin. Sto.";0,0195561121095517;1,00707731964061;0,233015049877904
"187";"EM";-0,0363161056825681;0,970270951992185;0,143726916740165
"188";"Boot";-0,105936984443685;0,962150338933795;0,188389088124453
"189";"Post";-0,0980045689855882;0,961346772217185;0,226826843418085
"190";"Moy";-0,23389428090189;0,615370848618961;0,0698651803486597
"191";"Reg. Lin.";-0,0963161704960475;0,959625675453784;0,0455473829306302
"192";"Reg. Lin. Sto.";-0,0960086284798448;0,961873293886748;0,162228943092834
"193";"EM";0,00647962881658154;0,830133994467677;0,141346493244385
"194";"Boot";0,0236332119399233;0,826947190005358;0,201016535133414
"195";"Post";0,0212995662361579;0,825235972220013;0,231742175681653
"196";"Moy";0,0873572681873451;0,508176876183013;0,0607480603808954
"197";"Reg. Lin.";0,0168407997222825;0,830173052710211;0,0457937957156646
"198";"Reg. Lin. Sto.";0,0129004371845547;0,834947442578631;0,161338590412991
"199";"EM";0,0282681202044834;0,818847443615069;0,144574607567247
"200";"Boot";0,0754072149085446;0,831789458121248;0,187732319182436
"201";"Post";0,0721791509909098;0,814508253790554;0,23388002475918
"202";"Moy";0,170470328963458;0,567082826581551;0,0636851213913152
"203";"Reg. Lin.";0,0741289618364571;0,814487704590863;0,0457892119524347
"204";"Reg. Lin. Sto.";0,0774321312197188;0,820457131119925;0,165176462095506
"205";"EM";-0,0104454530001137;0,945319408812428;0,129414211997626
"206";"Boot";-0,0314860069561929;0,944672641993937;0,158685417556924
"207";"Post";-0,0302139670768885;0,942288795945177;0,216154403529541
"208";"Moy";-0,15329030443449;0,544107671048534;0,0687900121426737
"209";"Reg. Lin.";-0,0274475704992598;0,943235911993461;0,0434577856910077
"210";"Reg. Lin. Sto.";-0,0299486348799779;0,939616903850018;0,146277782755942
"211";"EM";-0,0310847940593187;0,987536395839597;0,177326956299903
"212";"Boot";-0,100168166722315;1,01439403598267;0,238513223689056
"213";"Post";-0,074355746812823;0,996286302064807;0,284522783934281
"214";"Moy";-0,027223607191309;0,647140015359119;0,0765072007457039
"215";"Reg. Lin.";-0,0808621805606515;0,9933625348647;0,0508003766736377
"216";"Reg. Lin. Sto.";-0,0802531046678987;0,993453173135555;0,205387479995062
"217";"EM";0,00377246494132233;0,961573749213781;0,187087677377144
"218";"Boot";0,0121016986813988;0,961989173934548;0,265201619869694
"219";"Post";0,00149651675806152;0,955137964470835;0,312390296117705
"220";"Moy";0,158167217493195;0,709880134992305;0,072478153207905
"221";"Reg. Lin.";0,00993375397832919;0,96103677167117;0,0525790838860664
"222";"Reg. Lin. Sto.";0,00605342313537878;0,966417422577538;0,225206263678579
"223";"EM";-0,00297796487726407;1,05137793098548;0,187336725841719
"224";"Boot";0,0242366962080713;1,04841791929314;0,263276761445473
"225";"Post";-0,0153229796266521;1,05222741884984;0,31137417537554
"226";"Moy";0,053382974576208;0,793745725165672;0,0768815659810175
"227";"Reg. Lin.";-0,00773236659011586;1,05162185849956;0,0527377237181344
"228";"Reg. Lin. Sto.";-0,00513601024375393;1,06004582747586;0,221502264253037
"229";"EM";0,0115748833405809;0,988440598731724;0,105037911738837
"230";"Boot";0,0204257469862825;0,988800958193959;0,144755978003063
"231";"Post";0,0198814461503719;0,988999443956694;0,170761301354167
"232";"Moy";0,0663107175367747;0,687239928923509;0,0656730718124895
"233";"Reg. Lin.";0,0301592450621989;0,987919872717357;0,0394567010792767
"234";"Reg. Lin. Sto.";0,0325784623548527;0,989781161647726;0,115483242953436
"235";"EM";0,0421530870461742;0,925843956632853;0,109247128237428
"236";"Boot";0,110599939240646;0,922512166838275;0,155804228712979
"237";"Post";0,106755910151588;0,926458217264804;0,170276790205157
"238";"Moy";0,101148825112753;0,772144257747032;0,0576560629083397
"239";"Reg. Lin.";0,109029522369681;0,923126896764496;0,0405550023514146
"240";"Reg. Lin. Sto.";0,11181360495914;0,925309397072366;0,117142881886947
"241";"EM";0,00686190650200717;1,01998374057617;0,147782894646327
"242";"Boot";-0,0135458305338868;1,03147307712886;0,175858036093509
